Algae,Temperature,Lux,Growth
Navicula incerta,30,2500,0.35
Nitzscia sp.,5,5000,-0.1
Nitzscia sp.,5,2500,0.12
Nitzscia sp.,10,5000,0.2
Nitzscia sp.,10,2500,0.23
Nitzscia sp.,25,5000,0.23
Nitzscia sp.,25,2500,0.29
Nitzscia sp.,30,5000,0.46
Nitzscia sp.,30,2500,0.4
Skeletonema costatum,5,5000,0.29
Skeletonema costatum,5,2500,0.34
Skeletonema costatum,10,5000,0.66
Skeletonema costatum,10,2500,0.61
Skeletonema costatum,25,5000,0.6
Skeletonema costatum,25,2500,0.67
Skeletonema costatum,30,5000,0.48
Skeletonema costatum,30,2500,0.43
Tetraselmus suecica,5,5000,0.04
Tetraselmus suecica,5,2500,-0.02
Tetraselmus suecica,10,5000,0.42
Tetraselmus suecica,10,2500,0.28
Tetraselmus suecica,25,5000,0.46
Tetraselmus suecica,25,2500,0.44
Tetraselmus suecica,30,5000,0.55
Tetraselmus suecica,30,2500,0.51
Thalassiosira fluviatilis,5,5000,0.03
Thalassiosira fluviatilis,5,2500,0.06
Thalassiosira fluviatilis,10,5000,0.1
Thalassiosira fluviatilis,10,2500,0.11
Thalassiosira fluviatilis,25,5000,-0.03
Thalassiosira fluviatilis,25,2500,0.1
Thalassiosira fluviatilis,30,5000,0.28
Thalassiosira fluviatilis,30,2500,0.23
Thalassiosira sp.,5,5000,-0.29
Thalassiosira sp.,5,2500,-0.17
Thalassiosira sp.,10,5000,-0.04
Thalassiosira sp.,10,2500,-0.12
Thalassiosira sp.,25,5000,0.13
Thalassiosira sp.,25,2500,0.15
Thalassiosira sp.,30,5000,0.4
Thalassiosira sp.,30,2500,0.41
